ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,problem_id,id,size,split,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count,nonzeros_relative,avg_nnz_relative,max_nnz_relative,std_nnz_relative,avg_row_block_count_relative,std_row_block_count_relative,min_row_block_count_relative,max_row_block_count_relative,avg_row_block_size_relative,std_row_block_size_relative,min_row_block_size_relative,max_row_block_size_relative,block_count_relative
37-466-3223,HB/bcsstk15,0,500,1,62,8.06451612903226,1,37-466-3223,37,466,3223,/home/anna/.ssgetpy/MM/HB/bcsstk15/bcsstk15.mtx,466,466,10504,True,1.0,1.0,0.048370756506843,22.540772532188843,40,5.931606858028899,10.469957081545065,4.480304873311041,1,27,2.1529001844640296,1.6468206129552547,1,18,4879,22.540772532188843,0.04837075650684301,0.08583690987124463,0.012728770081607079,0.022467719059109582,0.009614388140152448,0.002145922746781116,0.05793991416309013,0.004619957477390622,0.003533949813208701,0.002145922746781116,0.03862660944206009,10.469957081545065
1433-944-1595,Oberwolfach/flowmeter5,1,462,1,64,7.21875,1,1433-944-1595,1433,944,1595,/home/anna/.ssgetpy/MM/Oberwolfach/flowmeter5/flowmeter5.mtx,944,944,6362,False,0.0542635658914728,1.0,0.0071392020970985,6.739406779661017,9,0.7864679596013177,6.225635593220339,1.0430051608274926,3,9,1.0825250978390335,0.2751630535985735,1,2,5877,6.739406779661017,0.007139202097098536,0.009533898305084746,0.0008331228385607179,0.006594952958919851,0.0011048783483342084,0.0031779661016949155,0.009533898305084746,0.0011467426883888068,0.0002914862855917092,0.001059322033898305,0.00211864406779661,6.225635593220339
1106-392-569,Sandia/fpga_trans_01,1,3,1,51,0.0588235294117647,0,1106-392-569,1106,392,569,/home/anna/.ssgetpy/MM/Sandia/fpga_trans_01/fpga_trans_01.mtx,392,392,782,False,0.0,1.0,0.0050890254060808,1.9948979591836733,2,0.0712461226722905,1.0,0.0,1,1,1.9948979591836733,0.0712461226722905,1,2,392,1.9948979591836735,0.005089025406080799,0.00510204081632653,0.00018175031293951658,0.002551020408163265,0.0,0.002551020408163265,0.002551020408163265,0.005089025406080799,0.00018175031293951658,0.002551020408163265,0.00510204081632653,1.0
391-1610-371,DRIVCAV/cavity12,0,1650,1,201,8.2089552238806,1,391-1610-371,391,1610,371,/home/anna/.ssgetpy/MM/DRIVCAV/cavity12/cavity12.mtx,1610,1610,47410,False,0.0,0.9661900538622944,0.0182901894217044,29.4472049689441,62,14.819703445083634,6.12111801242236,1.908689184289086,1,13,4.810755961440893,5.396280545038382,1,22,9855,29.4472049689441,0.01829018942170441,0.03850931677018633,0.009204784748499152,0.0038019366536784847,0.0011855212324776933,0.0006211180124223603,0.008074534161490683,0.002988047181019188,0.003351727046607691,0.0006211180124223603,0.013664596273291925,6.12111801242236
1029-279-755,Sandia/adder_dcop_46,1,65,1,51,1.27450980392157,0,1029-279-755,1029,279,755,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_46/adder_dcop_46.mtx,279,279,535,False,0.0,0.59375,0.0068729846738865,1.917562724014337,5,0.9929932712494588,1.4982078853046594,0.717795070500845,1,5,1.2799043062200957,0.5318811883289377,1,5,418,1.917562724014337,0.006872984673886512,0.017921146953405017,0.0035591156675607843,0.005369920735858995,0.0025727421881750717,0.0035842293906810036,0.017921146953405017,0.004587470631613246,0.0019063841875589166,0.0035842293906810036,0.017921146953405017,1.4982078853046594
1180-628-2617,HB/lock3491,1,338,0,0,0.0,0,1180-628-2617,1180,628,2617,/home/anna/.ssgetpy/MM/HB/lock3491/lock3491.mtx,628,628,26540,False,1.0,1.0,0.0672948192624447,42.261146496815286,54,14.10928523688341,2.554140127388535,0.8051973248568773,1,5,16.546134663341647,3.5119661879859487,2,18,1604,42.261146496815286,0.06729481926244472,0.08598726114649681,0.022467014708413075,0.004067102113676012,0.001282161345313499,0.0015923566878980893,0.007961783439490446,0.02634734819003447,0.005592302847111383,0.0031847133757961785,0.028662420382165606,2.554140127388535
2667-512-1388,VDOL/dynamicSoaringProblem_3,1,99,1,53,1.86792452830189,1,2667-512-1388,2667,512,1388,/home/anna/.ssgetpy/MM/VDOL/dynamicSoaringProblem_3/dynamicSoaringProblem_3.mtx,512,512,1153,False,1.0,1.0,0.0043983459472656,2.251953125,286,14.808972288710743,1.00390625,0.0623778102448098,1,2,2.2431906614785992,14.719729287137229,1,285,514,2.251953125,0.004398345947265625,0.55859375,0.02892377400138817,0.00196075439453125,0.00012183166063439415,0.001953125,0.00390625,0.004381231760700389,0.0287494712639399,0.001953125,0.556640625,1.00390625
1073-642-217,Sandia/fpga_dcop_19,1,9,1,54,0.166666666666667,0,1073-642-217,1073,642,217,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_19/fpga_dcop_19.mtx,642,642,1342,False,0.0085714285714285,0.9142857142857144,0.0032559854815073,2.0903426791277258,4,0.3272659435929942,1.102803738317757,0.3187176243921482,1,4,1.8954802259887005,0.3059336379869437,1,2,708,2.0903426791277258,0.003255985481507361,0.006230529595015576,0.0005097600367492121,0.0017177628322706494,0.0004964448978070844,0.001557632398753894,0.006230529595015576,0.0029524614111973526,0.0004765321463971085,0.001557632398753894,0.003115264797507788,1.102803738317757
28-395-25,HB/bcsstk06,0,400,1,77,5.19480519480519,1,28-395-25,28,395,25,/home/anna/.ssgetpy/MM/HB/bcsstk06/bcsstk06.mtx,395,395,7321,True,1.0,1.0,0.046921967633392,18.534177215189874,28,6.244853801857131,5.473417721518987,1.939901397778678,1,10,3.386216466234968,3.286117834349139,1,14,2162,18.534177215189874,0.04692196763339209,0.07088607594936709,0.0158097564603978,0.013856753725364525,0.004911142779186527,0.002531645569620253,0.02531645569620253,0.008572699914518906,0.008319285656580098,0.002531645569620253,0.035443037974683546,5.473417721518987
310-127-222,Bai/dw256A,0,150,1,72,2.08333333333333,1,310-127-222,310,127,222,/home/anna/.ssgetpy/MM/Bai/dw256A/dw256A.mtx,127,127,553,False,0.971830985915493,1.0,0.0342860685721371,4.354330708661418,5,0.6214988113597201,2.4960629921259843,0.4999844997287416,2,3,1.7444794952681388,0.9369775543078482,1,3,317,4.354330708661418,0.034286068572137146,0.03937007874015748,0.004893691428029292,0.019654039308078616,0.003936885824635761,0.015748031496062992,0.023622047244094488,0.013736059017859362,0.007377776018172033,0.007874015748031496,0.023622047244094488,2.4960629921259843
1025-848-724,Sandia/adder_dcop_42,1,82,0,0,0.0,0,1025-848-724,1025,848,724,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_42/adder_dcop_42.mtx,848,848,2536,False,0.0,0.5671995263469508,0.0035266108935564,2.990566037735849,7,1.4734848476636748,2.3494687131050767,1.2238081260166902,1,7,1.2743718592964823,0.5362221117950565,1,5,1990,2.990566037735849,0.003526610893556426,0.008254716981132075,0.0017376000562071637,0.0027705998975295714,0.0014431699599253421,0.0011792452830188679,0.008254716981132075,0.0015027970038873613,0.0006323373959847365,0.0011792452830188679,0.00589622641509434,2.3466981132075473
1553-1389-2901,Schenk_IBMNA/c-34,1,58,1,51,1.13725490196078,0,1553-1389-2901,1553,1389,2901,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-34/c-34.mtx,1389,1389,1389,False,1.0,1.0,0.0007199424046076,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1389,1.0,0.0007199424046076314,0.0007199424046076314,0.0,0.0007199424046076314,0.0,0.0007199424046076314,0.0007199424046076314,0.0007199424046076314,0.0,0.0007199424046076314,0.0007199424046076314,1.0
222-516-67,HB/nos6,0,550,1,68,8.08823529411765,1,222-516-67,222,516,67,/home/anna/.ssgetpy/MM/HB/nos6/nos6.mtx,516,516,2476,True,1.0,1.0,0.0092993209542695,4.7984496124031,5,0.4336584045100191,2.883720930232558,0.3205592733044237,2,3,1.663978494623656,0.926023571758029,1,3,1488,4.7984496124031,0.009299320954269575,0.009689922480620155,0.0008404232645543005,0.0055886064539390655,0.000621238901752759,0.003875968992248062,0.005813953488372093,0.0032247645244644495,0.0017946193251124592,0.001937984496124031,0.005813953488372093,2.883720930232558
405-1379-883,DRIVCAV/cavity26,0,1400,1,187,7.48663101604278,1,405-1379-883,405,1379,883,/home/anna/.ssgetpy/MM/DRIVCAV/cavity26/cavity26.mtx,1379,1379,40228,False,0.0,0.9768473660054056,0.0211543608914616,29.1718636693256,62,14.628299341751427,5.913705583756345,1.8731976523751237,1,13,4.932924586143471,5.545755384934537,1,22,8155,29.1718636693256,0.021154360891461638,0.044960116026105876,0.010607903801125038,0.004288401438547023,0.0013583739321066887,0.0007251631617113851,0.009427121102248005,0.0035771751893716253,0.004021577509017068,0.0007251631617113851,0.01595358955765047,5.913705583756345
1632-1360-582,Bai/rdb2048_noL,1,95,1,135,0.703703703703704,0,1632-1360-582,1632,1360,582,/home/anna/.ssgetpy/MM/Bai/rdb2048_noL/rdb2048_noL.mtx,1360,1360,7942,False,0.7936797326040718,1.0,0.004293901384083,5.839705882352941,6,0.3976547815122001,3.873529411764706,0.3453973189798634,2,4,1.507593014426727,0.8657728890480338,1,3,5268,5.839705882352941,0.004293901384083045,0.004411764705882353,0.0002923932217001471,0.0028481833910034603,0.0002539686168969584,0.0014705882352941176,0.0029411764705882353,0.0011085242753137699,0.000636597712535319,0.0007352941176470588,0.0022058823529411764,3.873529411764706
1625-1256-1448,Bai/mhd4800b,1,42,1,52,0.807692307692308,0,1625-1256-1448,1625,1256,1448,/home/anna/.ssgetpy/MM/Bai/mhd4800b/mhd4800b.mtx,1256,1256,7166,True,1.0,1.0,0.004542527080206,5.705414012738854,10,1.9567381510183668,2.914808917197452,0.5698673958366816,1,4,1.957388691614313,0.8978642654930308,1,4,3661,5.705414012738854,0.004542527080206094,0.007961783439490446,0.0015579125406197188,0.002320707736622175,0.00045371607948780377,0.0007961783439490446,0.0031847133757961785,0.001558430486954071,0.0007148600839912665,0.0007961783439490446,0.0031847133757961785,2.914808917197452
1542-635-2030,Schenk_IBMNA/c-23,1,31,1,51,0.607843137254902,0,1542-635-2030,1542,635,2030,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-23/c-23.mtx,635,635,635,False,1.0,1.0,0.0015748031496062,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,635,1.0,0.0015748031496062992,0.0015748031496062992,0.0,0.0015748031496062992,0.0,0.0015748031496062992,0.0015748031496062992,0.0015748031496062992,0.0,0.0015748031496062992,0.0015748031496062992,1.0
359-154-293,Boeing/msc01440,1,6,1,51,0.117647058823529,0,359-154-293,359,154,293,/home/anna/.ssgetpy/MM/Boeing/msc01440/msc01440.mtx,154,154,426,True,1.0,1.0,0.0179625569235958,2.7662337662337664,4,1.0738461508721622,1.5844155844155845,0.4928224924937734,1,2,1.7459016393442623,0.7078190401535339,1,3,244,2.7662337662337664,0.017962556923595885,0.025974025974025976,0.006973026953715339,0.010288412885815484,0.003200146055154373,0.006493506493506494,0.012987012987012988,0.0113370236321056,0.004596227533464506,0.006493506493506494,0.01948051948051948,1.5844155844155845
1612-1039-6907,Bai/cryg10000,0,1050,1,69,15.2173913043478,1,1612-1039-6907,1612,1039,6907,/home/anna/.ssgetpy/MM/Bai/cryg10000/cryg10000.mtx,1039,1039,4973,False,0.0,1.0,0.0046066727743137,4.786333012512031,5,0.4237487142600279,2.807507218479307,0.3942579239319354,2,3,1.7048337332876242,0.95149087215513,1,3,2917,4.7863330125120305,0.004606672774313794,0.004812319538017324,0.0004078428433686505,0.0027021243681225283,0.0003794590220711601,0.0019249278152069298,0.0028873917228103944,0.00164084093675421,0.0009157756228634552,0.0009624639076034649,0.0028873917228103944,2.807507218479307
161-103-4,HB/gre_115,1,82,0,53,1.54716981132075,0,161-103-4,161,103,4,/home/anna/.ssgetpy/MM/HB/gre_115/gre_115.mtx,103,103,347,False,0.0,0.2622950819672131,0.0327080780469412,3.3689320388349517,5,0.788143834664171,3.1067961165048543,0.8466108487996753,2,5,1.084375,0.2779493827570048,1,2,320,3.3689320388349513,0.03270807804694128,0.04854368932038835,0.007651881889943408,0.03016306909228014,0.008219522803880342,0.019417475728155338,0.04854368932038835,0.010527912621359225,0.0026985376966699496,0.009708737864077669,0.019417475728155338,3.1067961165048543
221-324-122,HB/nos5,1,220,1,72,3.05555555555556,1,221-324-122,221,324,122,/home/anna/.ssgetpy/MM/HB/nos5/nos5.mtx,324,324,3482,True,1.0,1.0,0.0331694863587867,10.746913580246911,23,2.7438184810094777,8.12037037037037,2.069998475841536,3,14,1.3234511592550362,0.6512109188008711,1,8,2631,10.746913580246913,0.03316948635878676,0.07098765432098765,0.008468575558671228,0.025062871513488797,0.006388884184696099,0.009259259259259259,0.043209876543209874,0.004084725800169865,0.0020099102432125653,0.0030864197530864196,0.024691358024691357,8.12037037037037
984-808-322,Sandia/adder_dcop_01,1,44,0,0,0.0,0,984-808-322,984,808,322,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_01/adder_dcop_01.mtx,808,808,2072,False,0.0298742138364779,0.5754716981132075,0.0031737084599549,2.5643564356435644,7,1.4656936188939742,2.2144638403990027,1.254971271417798,1,7,1.1666666666666667,0.4073277745451639,1,5,1776,2.5643564356435644,0.0031737084599549065,0.008663366336633664,0.0018139772511064037,0.002740673069800746,0.0015531822666061857,0.0012376237623762376,0.008663366336633664,0.001443894389438944,0.0005041185328529256,0.0012376237623762376,0.006188118811881188,2.198019801980198
2665-318-226,VDOL/dynamicSoaringProblem_1,0,350,1,144,2.43055555555556,1,2665-318-226,2665,318,226,/home/anna/.ssgetpy/MM/VDOL/dynamicSoaringProblem_1/dynamicSoaringProblem_1.mtx,318,318,940,False,1.0,1.0,0.009295518373482,2.9559748427672954,181,11.456148777158868,1.7767295597484276,0.8851461144032675,1,4,1.663716814159292,8.072251848282898,1,180,565,2.9559748427672954,0.00929551837348206,0.5691823899371069,0.036025625085405244,0.005587199873422728,0.0027834783471800866,0.0031446540880503146,0.012578616352201259,0.005231813881004062,0.02538443977447452,0.0031446540880503146,0.5660377358490566,1.7767295597484276
