ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,id,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
1,HB/1138_bus,0,1150,1,139,8.27338129496403,1,1,/home/anna/.ssgetpy/MM/HB/1138_bus/1138_bus.mtx,1138,1138,4054,True,1.0,1.0,0.003130395569571381,3.562390158172232,18,1.8021833806268253,2.905096660808436,1.422808937226558,1,14,1.2262552934059285,0.564304453457961,1,8,3306
2,HB/494_bus,1,401,1,204,1.9656862745098,0,2,/home/anna/.ssgetpy/MM/HB/494_bus/494_bus.mtx,494,494,1666,True,1.0,1.0,0.006826861610582045,3.3724696356275303,10,1.4181198614312183,2.789473684210526,1.2023132756774468,1,7,1.20899854862119,0.5386434191041346,1,5,1378
3,HB/662_bus,1,306,1,135,2.26666666666667,0,3,/home/anna/.ssgetpy/MM/HB/662_bus/662_bus.mtx,662,662,2474,True,1.0,1.0,0.005645256980129791,3.7371601208459215,10,1.4841895166012695,3.445619335347432,1.3223287478271324,1,9,1.0846120122753178,0.3532711057976903,1,7,2281
4,HB/685_bus,1,151,1,142,1.06338028169014,0,4,/home/anna/.ssgetpy/MM/HB/685_bus/685_bus.mtx,685,685,3249,True,1.0,1.0,0.006924183494059353,4.7430656934306565,13,1.7916185896743912,3.691970802919708,1.4397920771503443,1,11,1.2846975088967971,0.6285100074115695,1,7,2529
6,HB/arc130,1,7,1,53,0.132075471698113,0,6,/home/anna/.ssgetpy/MM/HB/arc130/arc130.mtx,130,130,1037,False,0.0,0.7586805555555556,0.07585798816568047,9.861538461538462,39,7.427045571232195,5.7153846153846155,5.498579698269805,1,24,1.7254374158815613,4.218779593141184,1,105,743
24,HB/bcsstk02,1,96,1,51,1.88235294117647,0,24,/home/anna/.ssgetpy/MM/HB/bcsstk02/bcsstk02.mtx,66,66,4356,True,1.0,1.0,1.0,66.0,66,0.0,1.0,0.0,1,1,66.0,0.0,66,66,66
25,HB/bcsstk03,0,150,1,62,2.41935483870968,1,25,/home/anna/.ssgetpy/MM/HB/bcsstk03/bcsstk03.mtx,112,112,640,True,1.0,1.0,0.05102040816326531,5.714285714285714,6,0.5890150893739516,3.4285714285714284,0.5624291338579865,2,4,1.6666666666666667,0.47140452079103173,1,2,384
26,HB/bcsstk04,0,150,1,77,1.94805194805195,1,26,/home/anna/.ssgetpy/MM/HB/bcsstk04/bcsstk04.mtx,132,132,3648,True,1.0,1.0,0.209366391184573,27.636363636363637,46,10.750104106101068,8.121212121212121,2.0890417660877767,5,14,3.4029850746268657,2.6393814375553153,1,17,1072
27,HB/bcsstk05,0,200,1,83,2.40963855421687,1,27,/home/anna/.ssgetpy/MM/HB/bcsstk05/bcsstk05.mtx,153,153,2423,True,1.0,1.0,0.10350719808620616,15.836601307189543,24,5.112406435329481,4.281045751633987,1.4706608551423284,2,8,3.699236641221374,2.5447895032313887,1,10,655
28,HB/bcsstk06,0,450,1,85,5.29411764705882,1,28,/home/anna/.ssgetpy/MM/HB/bcsstk06/bcsstk06.mtx,420,420,7860,True,1.0,1.0,0.0445578231292517,18.714285714285715,28,6.465607599650096,5.483333333333333,1.8878580286949378,1,10,3.4129396439426833,3.266050210394417,1,14,2303
29,HB/bcsstk07,0,450,1,85,5.29411764705882,1,29,/home/anna/.ssgetpy/MM/HB/bcsstk07/bcsstk07.mtx,420,420,7860,True,1.0,1.0,0.0445578231292517,18.714285714285715,28,6.465607599650096,5.483333333333333,1.8878580286949378,1,10,3.4129396439426833,3.266050210394417,1,14,2303
30,HB/bcsstk08,0,1100,1,76,14.4736842105263,1,30,/home/anna/.ssgetpy/MM/HB/bcsstk08/bcsstk08.mtx,1074,1074,12960,True,1.0,1.0,0.011235604381885709,12.067039106145252,339,21.07477980305071,9.313780260707635,13.868404401532718,1,166,1.2956113166050185,0.6051263341780799,1,18,10003
31,HB/bcsstk09,1,144,0,54,2.66666666666667,0,31,/home/anna/.ssgetpy/MM/HB/bcsstk09/bcsstk09.mtx,1083,1083,18437,True,1.0,1.0,0.01571930506637883,17.02400738688827,23,4.0882887723126915,8.712834718374884,2.316126689446136,3,12,1.9538999576091565,1.583648512594031,1,9,9436
32,HB/bcsstk10,1,658,0,94,7.0,0,32,/home/anna/.ssgetpy/MM/HB/bcsstk10/bcsstk10.mtx,1086,1086,22070,True,1.0,1.0,0.018712968332943305,20.322283609576427,27,5.618405751004226,7.919889502762431,1.4816341541675817,4,10,2.5659806999186143,0.5234647472031817,1,3,8601
