ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,id,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count,nonzeros_relative,avg_nnz_relative,max_nnz_relative,std_nnz_relative,avg_row_block_count_relative,std_row_block_count_relative,min_row_block_count_relative,max_row_block_count_relative,avg_row_block_size_relative,std_row_block_size_relative,min_row_block_size_relative,max_row_block_size_relative,block_count_relative
1,HB/1138_bus,0,1150,1,139,8.27338129496403,1,1,/home/anna/.ssgetpy/MM/HB/1138_bus/1138_bus.mtx,1138,1138,4054,True,1.0,1.0,0.0031303955695713,3.562390158172232,18,1.8021833806268253,2.905096660808436,1.422808937226558,1,14,1.2262552934059283,0.564304453457961,1,8,3306,3.562390158172232,0.003130395569571381,0.015817223198594025,0.0015836409320095126,0.002552809016527624,0.0012502714738370456,0.0008787346221441124,0.012302284710017574,0.0010775529819032762,0.0004958738606836212,0.0008787346221441124,0.007029876977152899,2.905096660808436
2,HB/494_bus,1,401,1,204,1.9656862745098,1,2,/home/anna/.ssgetpy/MM/HB/494_bus/494_bus.mtx,494,494,1666,True,1.0,1.0,0.006826861610582,3.3724696356275303,10,1.4181198614312185,2.789473684210526,1.2023132756774468,1,7,1.20899854862119,0.5386434191041346,1,5,1378,3.3724696356275303,0.006826861610582045,0.020242914979757085,0.0028706879786057054,0.005646707862774344,0.0024338325418571797,0.0020242914979757085,0.01417004048582996,0.0024473654830388463,0.001090371293733066,0.0020242914979757085,0.010121457489878543,2.789473684210526
3,HB/662_bus,1,306,1,135,2.26666666666667,1,3,/home/anna/.ssgetpy/MM/HB/662_bus/662_bus.mtx,662,662,2474,True,1.0,1.0,0.0056452569801297,3.7371601208459215,10,1.4841895166012695,3.445619335347432,1.3223287478271324,1,9,1.0846120122753178,0.3532711057976903,1,7,2281,3.7371601208459215,0.005645256980129791,0.015105740181268883,0.0022419781217541835,0.005204863044331468,0.001997475449889928,0.0015105740181268882,0.013595166163141994,0.0016383867254914166,0.0005336421537729461,0.0015105740181268882,0.010574018126888218,3.445619335347432
4,HB/685_bus,1,151,1,142,1.06338028169014,0,4,/home/anna/.ssgetpy/MM/HB/685_bus/685_bus.mtx,685,685,3249,True,1.0,1.0,0.0069241834940593,4.7430656934306565,13,1.7916185896743912,3.691970802919708,1.4397920771503443,1,11,1.2846975088967971,0.6285100074115695,1,7,2529,4.7430656934306565,0.006924183494059353,0.01897810218978102,0.0026155015907655347,0.005389738398422932,0.002101886244015101,0.00145985401459854,0.016058394160583942,0.001875470815907733,0.0009175328575351379,0.00145985401459854,0.010218978102189781,3.691970802919708
6,HB/arc130,1,7,1,53,0.132075471698113,0,6,/home/anna/.ssgetpy/MM/HB/arc130/arc130.mtx,130,130,1037,False,0.0,0.7586805555555556,0.0758579881656804,9.861538461538462,39,7.427045571232195,5.715384615384616,5.498579698269805,1,24,1.7254374158815613,4.218779593141184,1,105,743,7.976923076923077,0.07585798816568047,0.3,0.057131119778709195,0.04396449704142013,0.04229676690976773,0.007692307692307693,0.18461538461538463,0.01327259550678124,0.032452150716470646,0.007692307692307693,0.8076923076923077,5.7153846153846155
24,HB/bcsstk02,1,96,1,51,1.88235294117647,1,24,/home/anna/.ssgetpy/MM/HB/bcsstk02/bcsstk02.mtx,66,66,4356,True,1.0,1.0,1.0,66.0,66,0.0,1.0,0.0,1,1,66.0,0.0,66,66,66,66.0,1.0,1.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.015151515151515152,1.0,0.0,1.0,1.0,1.0
25,HB/bcsstk03,0,150,1,62,2.41935483870968,1,25,/home/anna/.ssgetpy/MM/HB/bcsstk03/bcsstk03.mtx,112,112,640,True,1.0,1.0,0.0510204081632653,5.714285714285714,6,0.5890150893739516,3.4285714285714284,0.5624291338579865,2,4,1.6666666666666667,0.4714045207910317,1,2,384,5.714285714285714,0.05102040816326531,0.05357142857142857,0.005259063297981711,0.030612244897959183,0.005021688695160594,0.017857142857142856,0.03571428571428571,0.014880952380952382,0.004208968935634211,0.008928571428571428,0.017857142857142856,3.4285714285714284
26,HB/bcsstk04,0,150,1,77,1.94805194805195,1,26,/home/anna/.ssgetpy/MM/HB/bcsstk04/bcsstk04.mtx,132,132,3648,True,1.0,1.0,0.209366391184573,27.63636363636364,46,10.750104106101068,8.121212121212121,2.0890417660877767,5,14,3.4029850746268657,2.639381437555316,1,17,1072,27.636363636363637,0.20936639118457304,0.3484848484848485,0.08144018262197779,0.06152433425160698,0.01582607398551346,0.03787878787878788,0.10606060606060606,0.025780189959294438,0.019995313920873607,0.007575757575757576,0.12878787878787878,8.121212121212121
27,HB/bcsstk05,0,200,1,83,2.40963855421687,1,27,/home/anna/.ssgetpy/MM/HB/bcsstk05/bcsstk05.mtx,153,153,2423,True,1.0,1.0,0.1035071980862061,15.836601307189545,24,5.112406435329481,4.281045751633987,1.4706608551423284,2,8,3.699236641221374,2.5447895032313887,1,10,655,15.836601307189543,0.10350719808620618,0.1568627450980392,0.03341442114594432,0.02798069118715024,0.009612162451910643,0.013071895424836602,0.05228758169934641,0.0241780172628848,0.016632611132231297,0.006535947712418301,0.06535947712418301,4.281045751633987
28,HB/bcsstk06,0,450,1,85,5.29411764705882,1,28,/home/anna/.ssgetpy/MM/HB/bcsstk06/bcsstk06.mtx,420,420,7860,True,1.0,1.0,0.0445578231292517,18.714285714285715,28,6.465607599650096,5.483333333333333,1.8878580286949376,1,10,3.412939643942684,3.266050210394417,1,14,2303,18.714285714285715,0.0445578231292517,0.06666666666666667,0.015394303808690704,0.013055555555555556,0.00449490006832128,0.002380952380952381,0.023809523809523808,0.008126046771292104,0.007776310024748612,0.002380952380952381,0.03333333333333333,5.483333333333333
