ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,problem_id,id,size,split,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
37-466-3223,HB/bcsstk15,0,500,1,62,8.06451612903226,1,37-466-3223,37,466,3223,/home/anna/.ssgetpy/MM/HB/bcsstk15/bcsstk15.mtx,466,466,10504,True,1.0,1.0,0.048370756506843006,22.540772532188843,40,5.931606858028899,10.469957081545065,4.480304873311041,1,27,2.1529001844640296,1.6468206129552547,1,18,4879
1433-944-1595,Oberwolfach/flowmeter5,1,462,1,64,7.21875,1,1433-944-1595,1433,944,1595,/home/anna/.ssgetpy/MM/Oberwolfach/flowmeter5/flowmeter5.mtx,944,944,6362,False,0.05426356589147287,1.0,0.007139202097098535,6.739406779661017,9,0.7864679596013177,6.225635593220339,1.0430051608274926,3,9,1.0825250978390335,0.27516305359857357,1,2,5877
1106-392-569,Sandia/fpga_trans_01,1,3,1,51,0.0588235294117647,0,1106-392-569,1106,392,569,/home/anna/.ssgetpy/MM/Sandia/fpga_trans_01/fpga_trans_01.mtx,392,392,782,False,0.0,1.0,0.0050890254060808,1.9948979591836735,2,0.07124612267229052,1.0,0.0,1,1,1.9948979591836735,0.07124612267229052,1,2,392
391-1610-371,DRIVCAV/cavity12,0,1650,1,201,8.2089552238806,1,391-1610-371,391,1610,371,/home/anna/.ssgetpy/MM/DRIVCAV/cavity12/cavity12.mtx,1610,1610,47410,False,0.0,0.9661900538622943,0.01829018942170441,29.4472049689441,62,14.819703445083634,6.12111801242236,1.908689184289086,1,13,4.810755961440893,5.396280545038382,1,22,9855
1029-279-755,Sandia/adder_dcop_46,1,65,1,51,1.27450980392157,0,1029-279-755,1029,279,755,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_46/adder_dcop_46.mtx,279,279,535,False,0.0,0.59375,0.006872984673886512,1.917562724014337,5,0.9929932712494589,1.4982078853046594,0.717795070500845,1,5,1.2799043062200957,0.5318811883289377,1,5,418
1180-628-2617,HB/lock3491,1,338,0,0,0.0,0,1180-628-2617,1180,628,2617,/home/anna/.ssgetpy/MM/HB/lock3491/lock3491.mtx,628,628,26540,False,1.0,1.0,0.06729481926244472,42.261146496815286,54,14.10928523688341,2.554140127388535,0.8051973248568773,1,5,16.546134663341647,3.5119661879859487,2,18,1604
2667-512-1388,VDOL/dynamicSoaringProblem_3,1,99,1,53,1.86792452830189,1,2667-512-1388,2667,512,1388,/home/anna/.ssgetpy/MM/VDOL/dynamicSoaringProblem_3/dynamicSoaringProblem_3.mtx,512,512,1153,False,1.0,1.0,0.004398345947265625,2.251953125,286,14.808972288710745,1.00390625,0.06237781024480981,1,2,2.2431906614785992,14.719729287137227,1,285,514
1073-642-217,Sandia/fpga_dcop_19,1,9,1,54,0.166666666666667,0,1073-642-217,1073,642,217,/home/anna/.ssgetpy/MM/Sandia/fpga_dcop_19/fpga_dcop_19.mtx,642,642,1342,False,0.008571428571428572,0.9142857142857143,0.003255985481507361,2.0903426791277258,4,0.32726594359299427,1.102803738317757,0.31871762439214824,1,4,1.8954802259887005,0.30593363798694373,1,2,708
28-395-25,HB/bcsstk06,0,400,1,77,5.19480519480519,1,28-395-25,28,395,25,/home/anna/.ssgetpy/MM/HB/bcsstk06/bcsstk06.mtx,395,395,7321,True,1.0,1.0,0.046921967633392084,18.534177215189874,28,6.244853801857131,5.473417721518987,1.939901397778678,1,10,3.3862164662349676,3.286117834349139,1,14,2162
310-127-222,Bai/dw256A,0,150,1,72,2.08333333333333,1,310-127-222,310,127,222,/home/anna/.ssgetpy/MM/Bai/dw256A/dw256A.mtx,127,127,553,False,0.971830985915493,1.0,0.034286068572137146,4.354330708661418,5,0.6214988113597201,2.4960629921259843,0.4999844997287416,2,3,1.7444794952681388,0.9369775543078482,1,3,317
1025-848-724,Sandia/adder_dcop_42,1,82,0,0,0.0,0,1025-848-724,1025,848,724,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_42/adder_dcop_42.mtx,848,848,2536,False,0.0,0.5671995263469508,0.003526610893556426,2.990566037735849,7,1.4734848476636748,2.3494687131050767,1.2238081260166902,1,7,1.2743718592964823,0.5362221117950565,1,5,1990
1553-1389-2901,Schenk_IBMNA/c-34,1,58,1,51,1.13725490196078,0,1553-1389-2901,1553,1389,2901,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-34/c-34.mtx,1389,1389,1389,False,1.0,1.0,0.0007199424046076314,1.0,1,0.0,1.0,0.0,1,1,1.0,0.0,1,1,1389
222-516-67,HB/nos6,0,550,1,68,8.08823529411765,1,222-516-67,222,516,67,/home/anna/.ssgetpy/MM/HB/nos6/nos6.mtx,516,516,2476,True,1.0,1.0,0.009299320954269575,4.7984496124031,5,0.43365840451001914,2.883720930232558,0.32055927330442374,2,3,1.663978494623656,0.926023571758029,1,3,1488
405-1379-883,DRIVCAV/cavity26,0,1400,1,187,7.48663101604278,1,405-1379-883,405,1379,883,/home/anna/.ssgetpy/MM/DRIVCAV/cavity26/cavity26.mtx,1379,1379,40228,False,0.0,0.9768473660054057,0.021154360891461638,29.1718636693256,62,14.628299341751429,5.913705583756345,1.8731976523751233,1,13,4.9329245861434705,5.545755384934537,1,22,8155
